"Average of Child mortality 1950-2017 (IHME, 2018)",Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Niger,Mali,Guinea-Bissau,Sierra Leone,Malawi,Burkina Faso,Liberia,Guinea,Laos,Nigeria,Chad,Western Sub-Saharan Africa,Mozambique,Angola,Benin,Yemen,Ethiopia,Haiti,Burundi,Myanmar,Equatorial Guinea,South Sudan,Somalia,Cote d'Ivoire,Sub-Saharan Africa,Rwanda,Low SDI,Bhutan,Togo,Senegal,Eastern Sub-Saharan Africa,Eritrea,Central Sub-Saharan Africa,Cameroon,Central African Republic,Uganda,Democratic Republic of Congo,Timor,Nepal,Bangladesh,Afghanistan,Tanzania,Iran,Oman,Zambia,Bolivia,Comoros,Sudan,Low-middle SDI,Egypt,Ghana,Madagascar,Gambia,Maldives,South Asia,Cambodia,India,Congo,Mauritania,Pakistan,North Africa and Middle East,Turkey,Peru,Morocco,Tajikistan,Sao Tome and Principe,Swaziland,Indonesia,Andean Latin America,Mongolia,Azerbaijan,Gabon,Nicaragua,Guatemala,Middle SDI,Kenya,World,Brazil,Djibouti,Tropical Latin America,Lesotho,Papua New Guinea,Southeast Asia,Tunisia,China,East Asia,Kiribati,El Salvador,Libya,South Africa,Latin America and the Caribbean,Kyrgyzstan,Southern Sub-Saharan Africa,Oceania,Dominican Republic,Honduras,Iraq,Turkmenistan,Cape Verde,Caribbean,Zimbabwe,Solomon Islands,Algeria,Ecuador,Central Asia,Saudi Arabia,Namibia,Philippines,Armenia,Mexico,Vietnam,Albania,Central Latin America,Georgia,Macedonia,Guyana,Botswana,Belize,United Arab Emirates,Uzbekistan,Syria,Thailand,Bahrain,Palestine,Micronesia,High-middle SDI,Saint Vincent and the Grenadines,Dominica,North Korea,Colombia,Moldova,Jordan,Chile,Vanuatu,Suriname,Saint Lucia,Bosnia and Herzegovina,Marshall Islands,Kazakhstan,Paraguay,Serbia,Sri Lanka,Greenland,Mauritius,Jamaica,Grenada,Southern Latin America,Venezuela,Brunei,Costa Rica,Lebanon,Panama,Seychelles,Malaysia,Bahamas,Portugal,Fiji,Qatar,Barbados,Romania,Trinidad and Tobago,Argentina,South Korea,Samoa,Central Europe,Croatia,Kuwait,Uruguay,Antigua and Barbuda,Tonga,Poland,Bulgaria,Belarus,Cyprus,Puerto Rico,Hungary,American Samoa,Slovenia,Ukraine,Eastern Europe,Montenegro,Russia,Slovakia,United States Virgin Islands,Cuba,Spain,Lithuania,Taiwan,Malta,Singapore,Italy,Austria,High-income,Bermuda,Greece,High SDI,Estonia,Guam,Latvia,Germany,Western Europe,Belgium,Japan,Czech Republic,Israel,Luxembourg,Ireland,Canada,High-income North America,United States,France,New Zealand,United Kingdom,Australasia,Finland,Switzerland,Australia,Denmark,Northern Mariana Islands,Netherlands,Norway,Iceland,Sweden,Andorra,Grand Total
1950,422.9,428.39,459.14,381.26,427.96,393.48,428.84,361.59,395.89,345.37,331.28,349.03,327.55,301.46,343.02,463.74,337.01,390.68,322.08,415.31,320.89,271.96,267.19,344.78,311.48,306.01,333.68,420.52,350.84,332.03,305.61,323.85,277.65,342.09,240.15,265.98,271.72,355.11,359.49,354.49,278.38,279.81,469.96,474.57,267.15,355.75,304.8,249.9,295.59,394.78,295.41,230.83,275.02,427.24,288.42,253.75,273.89,259.16,274.62,303.15,349.22,377.25,367.92,329.94,317.66,320.27,271.24,309.98,337.93,319.44,369.57,251.84,339.37,271.77,246.12,250.95,224.45,284.88,182.84,282.14,180.32,250.57,273.99,342.7,220.23,218.45,212.14,271.36,382.43,165.15,251.85,264.48,162.14,218.45,214.52,250.37,244.01,216.71,167.65,188.75,142.91,242.44,156.83,223.84,223.47,222.36,129.97,200.24,263.45,228.79,204.53,239.12,212.96,236.15,218.71,187.1,138.61,203,243.21,162.73,203.32,213.9,264.95,208.06,173.21,170.1,190.33,260.26,210.82,178.3,188.8,170.72,199.28,151,119.09,209.03,218.68,154.59,144.99,140.92,192.01,157.56,155.36,130.95,154.61,141.41,119.55,124.21,176.57,146.44,128.32,119.74,118.2,163.27,144.45,146.75,116.24,121.43,164.21,118.84,117.1,89,189.02,118.07,138.19,165.12,112.2,77.29,122.55,83.41,137.29,130.57,82.52,94.29,115.22,110.67,93.05,122.43,76.88,73.86,75.09,69.1,136.3,80.03,70.84,101.13,85.61,98.24,110.99,123.99,84.3,85.47,73.9,74.45,66.94,77.32,58.35,52.6,51.84,72.49,67.97,67.35,97.75,81.27,44.54,62.07,57.73,53.59,39.31,37.81,62.06,37.95,35.1,34.39,57.1,42.58,33.48,41.1,33.81,34.48,38.47,33.23,28.54,25.4,208.3500446
1955,404.08,409.6,426.46,364.98,410.26,375.54,404.79,348.26,378.94,328.6,314.27,333.98,315.82,300.39,333.05,445.14,321.2,362.73,306.99,384.34,318.05,264.26,255.95,328.85,294.25,287.05,304.58,387.72,330.85,308.78,286.93,309.55,266.39,303.72,234.24,258.8,258.69,336.21,331.48,325.51,265.58,265.55,441.47,443.49,250.86,322.45,289.94,242.58,270.93,360.76,274.17,218.25,261.46,374.6,256.66,240.57,243.79,254.44,250.7,271.81,316.61,327.96,312.86,311.92,285.54,310.61,252.33,281.86,290.6,284.59,317.13,247.25,296.4,250.24,216.58,218.43,203.49,256.92,175.12,253.71,172.07,230.94,244.51,305.8,191.91,189.01,198.45,250.21,301.9,162.26,221.51,226.1,157.87,198.05,191.83,215.23,210.54,190.76,156.61,177.59,138.05,218.96,146.32,197.13,189.43,205.49,126.11,170.23,216.24,190.46,177.16,208.04,182.51,195.52,239.37,160.66,133.07,180.7,217.73,142.83,175.87,187.96,228.21,178.77,154.01,150.43,175.88,208.77,116.87,154.19,158.4,158.89,168.33,137.64,108.55,174.3,202.15,132.7,125.76,112.67,155.93,131.54,128.23,125.13,123.63,120.09,105.44,112.43,170.78,128.25,115.69,108.52,106.87,127.65,120.99,136.35,93.94,111.77,132.25,105.31,94.05,80.2,129.35,97.82,108.44,129.98,96.11,62.48,101.24,70.1,102.74,109.68,75.29,84.17,78.54,72.55,72.6,97.16,67.76,67.25,74.6,64.13,58.33,66.93,62.01,77.22,74.79,83.91,62.89,74.79,64.99,60.25,55.62,57.19,52.55,57.9,49.19,46.24,44.11,56.33,54.49,52.03,58.74,36.88,48.37,53,46.35,41.25,35.06,34.37,44.84,34.13,32.73,31.38,40.26,36.84,30.65,33.62,29.14,28.01,29.12,27.84,24.11,21.52,187.1339286
1960,384.28,391.61,392.78,348.84,390.01,354.46,381.5,333.56,360.55,312.54,296.97,314.9,303.67,289.1,323.84,402.92,309.1,337.33,285.31,348.63,304.56,258.1,244.87,301.99,277.42,268.68,295.81,349.69,307.8,293.37,271.32,291.44,252.61,285.11,217.71,248.62,245.46,311.42,304.06,294.63,254.43,254.25,392.89,409.75,236.72,302.36,273.15,228.37,306.3,313.01,237.84,210.24,247.81,319.66,253.21,219.53,247.99,238.2,234.47,236.38,283.58,293.66,282.98,281.39,244.76,260.03,236.11,245.55,262.81,242.75,251.55,229.78,263.01,222.62,539.14,187.08,307.11,229.21,166.55,226.36,161.67,205.84,213.52,258.33,582.24,562.4,178.5,217.4,237.24,154.05,192.84,188.2,149.78,172.59,186.19,190.55,185.96,161.45,169.73,157.79,131.11,186.21,167.96,176.23,156.84,188.12,121.65,144.07,168.1,156.17,152.63,158.91,151.59,155.16,180.37,128.53,127.5,146.22,184.51,122.82,143.01,160.74,178.77,144.96,134.13,209.46,146.36,157.87,93.9,134.43,128.19,135.31,168.99,123.11,101.33,151.21,137.94,110.81,104.17,102.09,113.32,97.35,95.84,109.92,101.35,101.69,110.8,79.12,128.2,99.47,98.84,95.67,103.02,110.69,99.87,110.36,76.66,100.08,93.04,93.08,78.34,83.13,96.3,79.3,79.72,81.28,71.1,62.59,81.98,57.38,67.16,59.37,65.25,72.67,60.56,58.13,58.59,70.52,56.46,54.41,60.51,51.12,38.58,53.68,50.66,56.53,51.67,59.43,44.44,51.67,56.37,49.13,47.53,46.75,46.53,47.66,41.74,38.48,36.28,45.61,43.84,39.03,42.81,27.22,39.52,42.57,37.4,35.59,34.03,33.83,30.49,30.79,29.46,28.08,29.19,29.81,27.34,29.44,24.38,23.77,25.98,24.65,22.35,18.08,172.7390179
1965,356.25,380.03,367.76,329.07,370.81,333.06,348.79,317.23,336.95,293.08,281.62,293.76,289.56,274.43,302.75,365.6,294.9,317.05,268.59,312.2,276.71,252.29,238.38,273.24,259.68,269,284.02,306.59,277.23,286.91,255.8,280.1,239.22,247.14,198.67,235.6,234.5,281,270.88,261.9,243.63,237.83,330.78,360.33,217.62,273.52,246.68,223.96,236.72,268.39,214.41,201.58,229.33,265.93,248.35,199.96,250.85,217.47,207.4,198.01,242.83,243,228.15,238.41,203.45,175.92,202.54,217.59,219.56,197.03,192.12,204.37,220.93,204.9,166.92,166.09,172.13,205.14,158.63,202.5,160.2,174.12,186.34,209.24,141.1,138.35,156.58,185.26,169.65,144.21,166.83,155.32,139.97,145.57,162.05,166.09,159.75,133.76,143.1,135.33,122.44,151.33,159.99,153.57,127.84,163.53,112.25,123.99,129.33,131.72,132.49,128.68,128.87,123.41,142.9,109.53,119.11,121.31,143.17,104.1,121.64,127.36,132.37,110.46,113.76,110.98,116.96,106.81,72.85,110.79,102.45,109.42,132.34,104.36,92.09,110.06,108.97,92.65,85.11,93.91,91.98,82.07,81.94,93.6,80.33,79.69,91.93,71.24,73.65,98.67,80.35,79.65,98.08,76.04,79.6,92.91,63.16,89.07,67.14,56.96,62.8,72.13,76.04,70.1,60.82,60.65,59.15,65.14,60.19,49.3,51.69,39.74,50.14,61.63,55.98,48.59,50.66,52.88,43.27,39.57,53.69,35.59,37.95,42.05,48.21,46.14,33.24,39.71,39.16,38.98,44.76,36.95,38.18,39.12,40.08,35.95,30.03,36.16,27.52,31.68,34.55,30.6,26.3,30.49,33.88,32.58,31.04,29.48,30.73,30.84,24.07,25.73,25.78,24.73,23.76,24.84,24.46,25.35,20.83,20.46,22.71,22.01,17.91,15.04,146.0575
1970,340.66,361.91,336.22,310.14,345.5,317.99,310.4,308.51,309.3,292.48,271.92,282.9,270.67,258.91,282.24,320.92,278.65,291.52,253.37,277.73,251.59,245.38,235.44,242.39,245.74,270,255.68,262.76,238.74,275.5,239.37,257.64,221.94,222.16,188.42,221.04,216.93,252.71,241.28,252.24,232.78,215.98,246.5,259.42,189.95,237.64,220.06,215.68,207.3,235.66,196.44,190.58,204,215.09,209.28,198.13,206.38,196.02,180.24,173.13,205.08,205,209.3,199.74,162.3,147.73,171.52,186.71,199.09,165.75,143.47,180.79,186.78,182.66,137.44,152.09,151.32,183.11,150.26,180.63,150.04,138,161.57,166.44,115.65,113.45,136.19,158.98,113.84,134.04,147.93,125.43,129.35,117.26,137.45,138.42,135.42,110.06,179.32,122.69,112.76,121.32,159.98,140.18,102.84,137.07,105.9,108.22,99.05,113.09,119.76,100.03,111.85,96.9,103.33,97.52,106.71,102.33,108.19,88.48,102.02,102.37,89.96,89.73,95.26,91.2,94.99,71.64,52.97,94.01,81.24,88.33,101.93,85.97,83.01,79.85,80.02,76.68,68.73,84.64,74.13,69.35,61.8,79.88,67.7,67.64,81.3,72.57,57.99,86.19,66.42,64.8,79.77,64.24,56.38,76.9,56.07,70.65,49.91,59.15,56.47,73.84,55.68,59,51.71,45.48,53.06,62.35,41.67,44.59,42.56,34.31,40.85,52.12,35.78,43.94,41.08,37.96,37.85,35.36,39.72,32.79,34.54,35.73,47.34,35.06,25.54,27.52,30.79,30.07,36.52,32.58,31.86,30.04,33.89,29.05,25.51,30.86,25.15,27.99,28.94,27.57,19.47,27,28.76,25.35,24.67,24.79,26.41,26.56,20.46,22.79,23.79,24.06,18.27,20.81,24.37,19.46,17.65,17.86,16.21,18.05,14.72,12.46,128.3617857
1975,336.19,334.92,304.8,290.34,308.87,298.32,277.82,297.25,275.86,264.09,253.54,257.51,251.15,251.19,255.68,256.79,268.45,255.51,239.93,230.57,230.61,237.38,249.73,209.3,227.66,257.2,234.11,230.98,207.07,246.99,226,236.35,209.24,197.36,186.69,213.19,203.32,235.58,223.93,216.07,223.17,197.98,157.05,190.5,170.06,198.68,198.16,207.12,184.06,200.43,174.84,177.42,183.96,174.62,187.02,259.09,186.27,166.9,172.75,153.22,165.89,168.16,163.39,171.43,140.59,118.32,144.22,159.43,158.02,140.33,108.56,149.83,152.32,152.61,113.15,133.78,134.17,153.56,138.7,151.5,132.11,112.33,138.75,121.28,92.27,90.38,109.58,128.4,83.02,124.61,123.51,109.74,119.49,95.99,115.61,117.78,108.23,104.96,135.62,107,106.38,99.61,147.85,110.67,90.18,101.72,102.54,96.19,86.85,93.79,95.83,76.54,93.24,82.41,74.93,86.87,86.5,82.11,76.77,82.52,85.68,80.69,55.17,70.44,79.3,72.66,75.83,43.36,38.75,77.77,70.31,74.33,70.1,66.75,78.64,58.46,57.05,61.64,61.46,74.2,57.61,67.82,52.34,60.93,52.86,60.37,61.65,63.87,40.09,50.2,61.74,48.47,58.7,48.71,45.8,45.68,48,52.46,37.26,45.26,49.78,58.31,35.24,45.92,39.65,32.33,51.24,60.75,33.06,41.04,31.79,30.74,35.4,45.01,26.27,39.99,33.35,27.85,36.46,34.71,32.17,33.19,31.27,31.7,33.27,23.96,26.23,20.6,23.12,19.96,25.87,26.97,24.29,23.56,27.98,22,25.49,25.13,28.02,24.57,22.65,21.11,14.26,24.59,29.11,18.48,21.93,18.83,20.56,20.74,17.64,21.08,20.04,19.54,14.53,15.37,19.16,14.4,14.98,14.68,12.57,14.89,11.33,10.42,111.5022321
